case_id,source_case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,shared_bist_group_count,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,gain_vs_fixed_fastest_percent,peak_power_w,peak_temperature_c,temperature_rise_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,tap_access_phase_count,tap_access_time_s,fpp_data_time_s,exclusive_test_time_s,selected_recipe_types,selected_b_count,selected_f_count,selected_h_count,selected_s_count,solver_status
m21_pressure_medium_p22810_2_5d_interposer,m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,134,86,2,pure_serial,baseline,ok,,158.42140647999983,1.0,1.0,-380542.07967799687,2.48,35.214639995535585,10.214639995535585,thermal_die3,0.0,0.9999998674421569,87,158.42138547999988,0,158.42131603999994,I:5;S:17,0,0,0,17,greedy
m21_pressure_medium_p22810_2_5d_interposer,m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,134,86,2,fixed_fastest,fixed_path,ok,,0.04161951999999999,0.0002627139912765155,3806.4207967799694,0.0,8.59,38.57314560172111,13.573145601721109,thermal_die2,0.0,0.05204961518056913,55,0.00216628,0,0.08520659999999995,B:16;I:5;S:1,16,0,0,1,greedy
m21_pressure_medium_p22810_2_5d_interposer,m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,134,86,2,tam_like,fixed_path,ok,,0.8251218000000002,0.005208398399771619,191.9976014207839,-1882.5355986806198,2.48,36.60992891277275,11.609928912772752,thermal_die3,0.9999735796581789,0.0025602523166882757,71,0.0021125200000000005,0.8251000000000002,0.8271226000000003,F:16;I:5;S:1,0,16,0,1,greedy
m21_pressure_medium_p22810_2_5d_interposer,m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,134,86,2,m4_greedy,joint,ok,,0.031219519999999997,0.00019706629737529415,5074.434407703893,24.988274732625452,10.7,39.541698881898924,14.541698881898924,thermal_die2,0.9588018436328727,0.06889279527680119,60,0.0021508,0.02993333333333334,0.08914493333333329,B:11;F:5;I:5;S:1,11,5,0,1,greedy
m21_pressure_medium_p22810_2_5d_interposer,m10_medium_p22810_2_5d_interposer,p22810,medium,2_5d_interposer,6,1,22,134,86,2,m5_cpsat,joint,ok,,0.03120736,0.0001969895400716558,5076.411669554869,25.017491792312825,11.82,38.0761888222712,13.076188822271199,thermal_die2,0.9581074464485302,0.068878623504199,60,0.00214952,0.029900004000000004,0.08911160399999996,B:11;F:5;I:5;S:1,11,5,0,1,OPTIMAL
m21_pressure_medium_p22810_3d_stack,m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,134,86,1,pure_serial,baseline,ok,,158.42156583999991,1.0,1.0,-164901.0142848095,2.48,44.43957399647988,19.43957399647988,thermal_die5,0.0,0.9999998674422901,87,158.42154483999994,0,158.42142163999995,I:5;S:17,0,0,0,17,greedy
m21_pressure_medium_p22810_3d_stack,m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,134,86,1,fixed_fastest,fixed_path,ok,,0.09601248000000003,0.0006060568805194691,1650.010142848095,0.0,4.49,54.401819455248244,29.401819455248244,thermal_die3,0.0,0.024375581174447308,55,0.0023403599999999992,0,0.09811220000000002,B:16;I:5;S:1,16,0,0,1,greedy
m21_pressure_medium_p22810_3d_stack,m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,134,86,1,tam_like,fixed_path,ok,,0.9901456399999998,0.0062500685102431786,159.9982461569996,-931.2676435396727,2.48,45.2679753810328,20.267975381032798,thermal_die3,0.9999741048195697,0.0022944907377464192,71,0.00227188,0.9901199999999998,0.9922481999999999,F:16;I:5;S:1,0,16,0,1,greedy
m21_pressure_medium_p22810_3d_stack,m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,134,86,1,m4_greedy,joint,ok,,0.06125247999999999,0.000386642308925685,2586.3698227402374,36.20362686184132,8.38,56.378224254804564,31.378224254804564,thermal_die3,0.7307459224508137,0.037783939523754806,61,0.0023143600000000005,0.04476000000000001,0.10687820000000002,B:10;F:6;I:5;S:1,10,6,0,1,greedy
m21_pressure_medium_p22810_3d_stack,m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,134,86,1,m5_cpsat,joint,ok,,0.060008001,0.00037878681909132194,2640.007385681785,37.49979065221523,10.670000000000002,65.78514324066016,40.78514324066016,thermal_die2,0.7332355563718912,0.0385995194207519,61,0.002316279999999999,0.15500000000000003,0.21711820000000007,B:10;F:6;I:5;S:1,10,6,0,1,FEASIBLE
m21_pressure_medium_p22810_5_5d_multi_tower,m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,134,86,3,pure_serial,baseline,ok,,158.42144487999994,1.0,1.0,-454736.70839266834,2.48,43.141096955459545,18.141096955459545,thermal_die5,0.0,0.9999998674421888,87,158.42142387999996,0,158.42133908,I:5;S:17,0,0,0,17,greedy
m21_pressure_medium_p22810_5_5d_multi_tower,m10_medium_p22810_5_5d_multi_tower,p22810,medium,5_5d_multi_tower,6,3,22,134,86,3,fixed_fastest,fixed_path,ok,,0.0348304,0.00021985912340581861,4548.367083926683,0.0,12.690000000000001,56.577519466204855,31.577519466204855,thermal_die3,0.0,0.06338945289172677,55,0.00220788,0,0.09482963999999999,B:16;I:5;S:1,16,0,0,1,greedy
