case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,lane_count,power_profile,method_id,method_label,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,peak_power_w,peak_temperature_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,selected_recipe_types,thermal_violations,solver_status,solver_wall_time_s,alns_iterations,alns_improvement_percent
m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,77,47,8,nominal,tam_like,Simplified TAM/FPP packing,baseline,ok,,0.0012598400000000004,0.34509735172625394,2.8977330454660892,2.2870999999999997,25.001403867976563,thermal_die0,0.0029000210344170686,0.9976187452374902,F:10;I:3;S:1,0,greedy,0.0,,
m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,77,47,8,nominal,low_power,Power-aware fixed recipe,baseline,ok,,0.0013303999999999998,0.36442525776019813,2.7440469031870114,2.4545,25.003795854429463,thermal_die2,0.002191399203247144,0.9520745640408903,B:3;F:7;I:3;S:1,0,greedy,0.0,,
m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,77,47,8,nominal,m4_all_recipes,M4 greedy without Pareto pruning,ablation,ok,,0.0012598400000000004,0.34509735172625394,2.8977330454660892,2.2870999999999997,25.001403867976563,thermal_die0,0.0029000210344170686,0.9976187452374902,F:10;I:3;S:1,0,greedy,0.0,,
m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,77,47,8,nominal,m4_greedy,M4 greedy recipe scheduling,proposed,ok,,0.0012598400000000004,0.34509735172625394,2.8977330454660892,2.2870999999999997,25.001403867976563,thermal_die0,0.0029000210344170686,0.9976187452374902,F:10;I:3;S:1,0,greedy,0.0,,
m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,77,47,8,nominal,m5_cpsat,M5 CP-SAT,proposed,ok,,0.00125684,0.34427558701392624,2.904649756532255,2.2384999999999997,25.00140103354734,thermal_die0,0.0029120651793386595,1.0000000000000004,F:10;I:3;S:1,0,FEASIBLE,5.0288633,,
m10_small_d695_5_5d_multi_tower,d695,small,5_5d_multi_tower,4,2,14,77,47,8,nominal,m6_alns,M6 CP-SAT-ALNS,proposed,ok,,0.00125684,0.34427558701392624,2.904649756532255,2.2384999999999997,25.00140103354734,thermal_die0,0.0029120651793386595,1.0000000000000004,F:10;I:3;S:1,0,ortools,,4,0.0
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,pure_serial,Pure serial IEEE 1838,baseline,ok,,0.09320772,1.0,1.0,2.1799999999999997,25.13599610303438,thermal_die1,0.0,0.9997746967740438,I:5;S:17,0,greedy,0.0,,
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,fixed_fastest,Fixed fastest recipe,baseline,ok,,0.0022778200000000003,0.024438104483190882,40.919703927439386,2.2584999999999997,25.001422360377617,thermal_die4,0.06231415893266367,0.9973922434608528,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,tam_like,Simplified TAM/FPP packing,baseline,ok,,0.0022778200000000003,0.024438104483190882,40.919703927439386,2.2584999999999997,25.001422360377617,thermal_die4,0.06231415893266367,0.9973922434608528,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,low_power,Power-aware fixed recipe,baseline,ok,,0.0024514520624999998,0.026300955140840264,38.021432858428575,2.6845999999999997,25.008394871431193,thermal_die3,0.05038077814748214,0.9325738140963545,B:3;F:13;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,m4_all_recipes,M4 greedy without Pareto pruning,ablation,ok,,0.0022778200000000003,0.024438104483190882,40.919703927439386,2.2584999999999997,25.001422360377617,thermal_die4,0.06231415893266367,0.9973922434608528,F:16;I:5;S:1,0,greedy,0.0,,
m10_medium_p22810_3d_stack,p22810,medium,3d_stack,6,1,22,121,71,8,nominal,m4_greedy,M4 greedy recipe scheduling,proposed,ok,,0.0022778200000000003,0.024438104483190882,40.919703927439386,2.2584999999999997,25.001422360377617,thermal_die4,0.06231415893266367,0.9973922434608528,F:16;I:5;S:1,0,greedy,0.0,,
