schedule_id,thermal_region,die_id,peak_temperature_c,peak_time_s,limit_c,over_limit_duration_s,violation_count
m10_medium_p22810_3d_stack::nominal_proxy::low_power,thermal_die0,die0,63.889430282511825,0.00013341906249999999,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::low_power,thermal_die1,die1,71.0258640260662,0.0006308110625,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::low_power,thermal_die2,die2,79.71439455756233,0.0006308110625,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::low_power,thermal_die3,die3,83.67336947900425,0.0006308110625,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::low_power,thermal_die4,die4,81.8246127029455,0.0008858510625000001,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::low_power,thermal_die5,die5,78.13021008651276,0.0008858510625000001,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::thermal_min_risk,thermal_die0,die0,63.889430282511825,0.00013341906249999999,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::thermal_min_risk,thermal_die1,die1,71.0258640260662,0.0006308110625,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::thermal_min_risk,thermal_die2,die2,79.71439455756233,0.0006308110625,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::thermal_min_risk,thermal_die3,die3,83.67336947900425,0.0006308110625,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::thermal_min_risk,thermal_die4,die4,81.8246127029455,0.0008858510625000001,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::thermal_min_risk,thermal_die5,die5,78.13021008651276,0.0008858510625000001,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::m4_greedy,thermal_die0,die0,68.07205753364708,0.00015005268749999996,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::m4_greedy,thermal_die1,die1,69.38221730739043,0.00014584868749999995,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::m4_greedy,thermal_die2,die2,69.5397561458785,0.00015325668749999996,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::m4_greedy,thermal_die3,die3,71.13564867495657,0.00015325668749999996,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::m4_greedy,thermal_die4,die4,69.92655664748342,0.00015325668749999996,85.0,0.0,0
m10_medium_p22810_3d_stack::nominal_proxy::m4_greedy,thermal_die5,die5,66.09376657228235,0.00015325668749999996,85.0,0.0,0
m10_medium_p22810_3d_stack::stress_proxy::fixed_fastest,thermal_die0,die0,97.5832105261853,0.00015005268749999996,85.0,2.523668750000003e-05,1
m10_medium_p22810_3d_stack::stress_proxy::fixed_fastest,thermal_die1,die1,99.78018609899382,0.00014584868749999995,85.0,3.651668750000002e-05,1
m10_medium_p22810_3d_stack::stress_proxy::fixed_fastest,thermal_die2,die2,100.08856059615971,0.00015325668749999996,85.0,4.2956687500000004e-05,1
m10_medium_p22810_3d_stack::stress_proxy::fixed_fastest,thermal_die3,die3,102.72755803620696,0.00015325668749999996,85.0,0.00023756000000000005,1
m10_medium_p22810_3d_stack::stress_proxy::fixed_fastest,thermal_die4,die4,100.712285587166,0.00015325668749999996,85.0,0.00023948000000000003,1
m10_medium_p22810_3d_stack::stress_proxy::fixed_fastest,thermal_die5,die5,94.38222623523681,0.00015325668749999996,85.0,0.00022436131250000004,1
m10_medium_p22810_3d_stack::stress_proxy::low_power,thermal_die0,die0,90.43414227136616,0.00013341906249999999,85.0,2.0895499999999895e-05,2
m10_medium_p22810_3d_stack::stress_proxy::low_power,thermal_die1,die1,114.42599069309142,0.0006308110625,85.0,0.00013147649999999987,3
m10_medium_p22810_3d_stack::stress_proxy::low_power,thermal_die2,die2,130.92587130799635,0.0006308110625,85.0,0.0013291309999999999,1
m10_medium_p22810_3d_stack::stress_proxy::low_power,thermal_die3,die3,138.17149361233325,0.0006308110625,85.0,0.0019267399999999997,1
m10_medium_p22810_3d_stack::stress_proxy::low_power,thermal_die4,die4,137.02645578914655,0.0008858510625000001,85.0,0.0019130694999999996,1
m10_medium_p22810_3d_stack::stress_proxy::low_power,thermal_die5,die5,130.34867457302593,0.0008858510625000001,85.0,0.0015317326875,1
m10_medium_p22810_3d_stack::stress_proxy::thermal_min_risk,thermal_die0,die0,90.43414227136616,0.00013341906249999999,85.0,2.0895499999999895e-05,2
m10_medium_p22810_3d_stack::stress_proxy::thermal_min_risk,thermal_die1,die1,114.42599069309142,0.0006308110625,85.0,0.00013147649999999987,3
m10_medium_p22810_3d_stack::stress_proxy::thermal_min_risk,thermal_die2,die2,130.92587130799635,0.0006308110625,85.0,0.0013291309999999999,1
m10_medium_p22810_3d_stack::stress_proxy::thermal_min_risk,thermal_die3,die3,138.17149361233325,0.0006308110625,85.0,0.0019267399999999997,1
m10_medium_p22810_3d_stack::stress_proxy::thermal_min_risk,thermal_die4,die4,137.02645578914655,0.0008858510625000001,85.0,0.0019130694999999996,1
m10_medium_p22810_3d_stack::stress_proxy::thermal_min_risk,thermal_die5,die5,130.34867457302593,0.0008858510625000001,85.0,0.0015317326875,1
m10_medium_p22810_3d_stack::stress_proxy::m4_greedy,thermal_die0,die0,97.5832105261853,0.00015005268749999996,85.0,2.523668750000003e-05,1
m10_medium_p22810_3d_stack::stress_proxy::m4_greedy,thermal_die1,die1,99.78018609899382,0.00014584868749999995,85.0,3.651668750000002e-05,1
m10_medium_p22810_3d_stack::stress_proxy::m4_greedy,thermal_die2,die2,100.08856059615971,0.00015325668749999996,85.0,4.2956687500000004e-05,1
m10_medium_p22810_3d_stack::stress_proxy::m4_greedy,thermal_die3,die3,102.72755803620696,0.00015325668749999996,85.0,0.00023756000000000005,1
m10_medium_p22810_3d_stack::stress_proxy::m4_greedy,thermal_die4,die4,100.712285587166,0.00015325668749999996,85.0,0.00023948000000000003,1
m10_medium_p22810_3d_stack::stress_proxy::m4_greedy,thermal_die5,die5,94.38222623523681,0.00015325668749999996,85.0,0.00022436131250000004,1
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::fixed_fastest,thermal_die0,die0,58.67056396331022,0.0001107676875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::fixed_fastest,thermal_die1,die1,58.37937028326947,0.00013963268749999998,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::fixed_fastest,thermal_die2,die2,38.73680626723167,0.00014584868749999998,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::fixed_fastest,thermal_die3,die3,38.46157932374063,9.759468749999999e-05,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::fixed_fastest,thermal_die4,die4,34.70985968483601,0.0001532566875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::fixed_fastest,thermal_die5,die5,34.25108632417595,0.0001324166875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::low_power,thermal_die0,die0,59.32616013610908,0.00010502925,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::low_power,thermal_die1,die1,58.57376717724015,0.00013408625,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::low_power,thermal_die2,die2,44.974950738171856,0.000534998125,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::low_power,thermal_die3,die3,45.305340596919244,0.00201533825,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::low_power,thermal_die4,die4,36.046368938469975,0.0005960162500000001,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::low_power,thermal_die5,die5,37.82411364207815,0.000534998125,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::thermal_min_risk,thermal_die0,die0,59.32616013610908,0.00010502925,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::thermal_min_risk,thermal_die1,die1,58.57376717724015,0.00013408625,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::thermal_min_risk,thermal_die2,die2,44.974950738171856,0.000534998125,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::thermal_min_risk,thermal_die3,die3,45.305340596919244,0.00201533825,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::thermal_min_risk,thermal_die4,die4,36.046368938469975,0.0005960162500000001,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::thermal_min_risk,thermal_die5,die5,37.82411364207815,0.000534998125,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::m4_greedy,thermal_die0,die0,58.67056396331022,0.0001107676875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::m4_greedy,thermal_die1,die1,58.37937028326947,0.00013963268749999998,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::m4_greedy,thermal_die2,die2,38.73680626723167,0.00014584868749999998,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::m4_greedy,thermal_die3,die3,38.46157932374063,9.759468749999999e-05,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::m4_greedy,thermal_die4,die4,34.70985968483601,0.0001532566875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::nominal_proxy::m4_greedy,thermal_die5,die5,34.25108632417595,0.0001324166875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::fixed_fastest,thermal_die0,die0,82.1545947488227,0.0001107676875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::fixed_fastest,thermal_die1,die1,82.23781606454595,0.0001532566875,85.0,0.0,0
m10_medium_p22810_5_5d_multi_tower::stress_proxy::fixed_fastest,thermal_die2,die2,48.6903068383374,0.00014584868749999998,85.0,0.0,0
