case_id,topology,bist_count,allowed_recipe_types,method_id,makespan_s,gain_vs_fixed_fastest_pct,peak_power_w,peak_temperature_c,fpp_utilization,selected_recipe_types,status
m21_pressure_small_d695_3d_stack,3d_stack,8,all,fixed_fastest,0.01805088,0.0,15.530000000000001,64.56998477958018,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,8,all,m4_greedy,0.018050919999999998,-0.0002215958446334054,14.52,64.56976387736582,0.7091051314836032,B:8;F:2;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,8,all,m5_cpsat,0.0180128,0.21095924409225128,16.04,65.0624354065647,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,inf,all,fixed_fastest,0.01805088,0.0,16.42,64.56998477958017,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,inf,all,m4_greedy,0.01805088,0.0,16.42,64.56998477958017,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,inf,all,m5_cpsat,0.0180128,0.21095924409225128,15.110000000000001,64.83600482506561,0.35530289571860013,B:9;F:1;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,1,BIST_only,fixed_fastest,0.06000863999999999,0.0,4.45,51.84936477671418,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,1,BIST_only,m4_greedy,0.06000863999999999,0.0,4.45,51.84936477671418,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,1,BIST_only,m5_cpsat,0.06000736,0.0021330261775395335,4.7,52.48572934532665,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,1,BIST_FPP,fixed_fastest,0.06000863999999999,0.0,4.45,51.84936477671418,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,1,BIST_FPP,m4_greedy,0.03761972,37.30949409951632,6.44,51.237133101893875,0.6804941663574318,B:6;F:4;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,1,BIST_FPP,m5_cpsat,0.03200452,46.66681331221636,8.200000000000001,50.78168926328037,0.9998587699487449,B:5;F:5;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,1,BIST_FPP_Hybrid,fixed_fastest,0.06000863999999999,0.0,4.45,51.84936477671418,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,1,BIST_FPP_Hybrid,m4_greedy,0.03761972,37.30949409951632,6.44,51.237133101893875,0.6804941663574318,B:6;F:4;I:3;S:1,ok
m21_pressure_small_d695_3d_stack,3d_stack,1,BIST_FPP_Hybrid,m5_cpsat,0.03200452,46.66681331221636,8.39,51.34751615422833,0.9998587699487449,B:5;F:5;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,all,fixed_fastest,0.058008,0.0,4.54,47.80366586324621,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,all,m4_greedy,0.034808,39.99448351951455,6.640000000000001,49.056992306553,0.8205010342450012,B:6;F:4;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,all,m5_cpsat,0.03200452,44.82740311681147,8.17,47.9340617407571,0.9998587699487449,B:5;F:5;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,2,all,fixed_fastest,0.029013119999999996,0.0,8.700000000000001,56.21678157625993,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,2,all,m4_greedy,0.023213119999999997,19.99095581585159,10.7,54.13831367378445,0.8271184571483715,B:7;F:3;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,2,all,m5_cpsat,0.02320736,20.01080890300663,11.560000000000002,56.018151124484504,0.8273237455703709,B:7;F:3;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,4,all,fixed_fastest,0.023207999999999996,0.0,16.04,61.50926182382816,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,4,all,m4_greedy,0.01743268,24.88503964150292,14.52,60.4171404984392,0.7342531383585313,B:8;F:2;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,4,all,m5_cpsat,0.01741568,24.958290244743182,13.750000000000002,61.33706193495573,0.7349698662354844,B:8;F:2;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,8,all,fixed_fastest,0.01742336,0.0,15.360000000000001,61.23430754582351,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,8,all,m4_greedy,0.017416639999999997,0.038568909785493294,14.59,61.252920879056965,0.7349293549157588,B:8;F:2;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,8,all,m5_cpsat,0.0174128,0.06060828680575812,13.860000000000001,61.44322857395739,0.7350914269962328,B:8;F:2;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,inf,all,fixed_fastest,0.017413119999999997,0.0,16.51,61.23258069352769,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,inf,all,m4_greedy,0.017413119999999997,0.0,16.51,61.23258069352769,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,inf,all,m5_cpsat,0.0174128,0.0018376947956374255,15.360000000000001,61.557245490298115,0.3675457134981164,B:9;F:1;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,BIST_only,fixed_fastest,0.058008,0.0,4.54,47.80366586324621,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,BIST_only,m4_greedy,0.058008,0.0,4.54,47.80366586324621,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,BIST_only,m5_cpsat,0.05800736,0.0011032960970835044,4.24,49.68915367812455,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,BIST_FPP,fixed_fastest,0.058008,0.0,4.54,47.80366586324621,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,BIST_FPP,m4_greedy,0.034808,39.99448351951455,6.640000000000001,49.056992306553,0.8205010342450012,B:6;F:4;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,BIST_FPP,m5_cpsat,0.03200452,44.82740311681147,7.96,47.97497347451598,0.9998587699487449,B:5;F:5;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,BIST_FPP_Hybrid,fixed_fastest,0.058008,0.0,4.54,47.80366586324621,0.0,B:10;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,BIST_FPP_Hybrid,m4_greedy,0.034808,39.99448351951455,6.640000000000001,49.056992306553,0.8205010342450012,B:6;F:4;I:3;S:1,ok
m21_pressure_small_d695_5_5d_multi_tower,5_5d_multi_tower,1,BIST_FPP_Hybrid,m5_cpsat,0.03200452,44.82740311681147,8.14,50.91473688669167,0.9998587699487449,B:5;F:5;I:3;S:1,ok
