ablation_id,ablation_label,case_id,source_case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,shared_bist_group_count,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,gain_vs_fixed_fastest_percent,peak_power_w,peak_temperature_c,temperature_rise_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,tap_access_phase_count,tap_access_time_s,fpp_data_time_s,exclusive_test_time_s,selected_recipe_types,selected_b_count,selected_f_count,selected_h_count,selected_s_count,solver_status
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,2,pure_serial,baseline,ok,,425.69281271999984,1.0,1.0,-818323.4570236797,2.48,35.214639940970415,10.214639940970415,thermal_die3,0.0,0.9999999365739821,111,425.6927857199999,0,425.69269707999996,I:7;S:21,0,0,0,21,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,2,fixed_fastest,fixed_path,ok,,0.052013759999999985,0.00012218613621323252,8184.234570236798,0.0,8.61,35.67502406470885,10.67502406470885,thermal_die3,0.0,0.06069086334077753,71,0.0031567599999999998,0,0.10695483999999994,B:20;I:7;S:1,20,0,0,1,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,2,tam_like,fixed_path,ok,,2.217159133333334,0.005208354632925584,191.9992148150423,-4162.639604084255,2.71,36.42399814393978,11.423998143939777,thermal_die3,0.9999883634874863,0.001393260390541205,91,0.00308908,2.217133333333334,2.220108173333333,F:20;I:7;S:1,0,20,0,1,greedy
shared_bist_with_parallel_escape,Shared BIST pressure with FPP/hybrid alternatives,m22_shared_bist_with_parallel_escape_large_p34392_2_5d_interposer,m10_large_p34392_2_5d_interposer,p34392,large,2_5d_interposer,8,1,28,168,108,2,m4_greedy,joint,ok,,0.04681375999999999,0.00010997075496971526,9093.326678309966,9.997354546181622,10.8,37.240569433457054,12.240569433457054,thermal_die3,0.38663845843615224,0.06720929914623394,74,0.0031463199999999998,0.0181,0.10945783999999996,B:17;F:3;I:7;S:1,17,3,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,103,3,pure_serial,baseline,ok,,0.21089507999999996,1.0,1.0,-5938.402137884735,2.1799999999999997,25.149742269194586,0.14974226919458644,thermal_die0,0.0,0.9998719742537377,111,0.21086807999999993,0,0.21067832000000003,I:7;S:21,0,0,0,21,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,103,3,fixed_fastest,fixed_path,ok,,0.0034925643437500003,0.016560672462107705,60.384021378847336,0.0,2.2432,25.001915824250542,0.001915824250541931,thermal_die6,0.046368106013508575,0.9974447589588518,91,0.0034836399999999992,0.00016194359375000002,0.00343022359375,F:20;I:7;S:1,0,20,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,103,3,tam_like,fixed_path,ok,,0.0034925643437500003,0.016560672462107705,60.384021378847336,0.0,2.2432,25.001915824250542,0.001915824250541931,thermal_die6,0.046368106013508575,0.9974447589588518,91,0.0034836399999999992,0.00016194359375000002,0.00343022359375,F:20;I:7;S:1,0,20,0,1,greedy
m10_original_control,Original M10 model without imposed shared-resource pressure,m22_m10_original_control_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,151,103,3,m4_greedy,joint,ok,,0.0034925643437500003,0.016560672462107705,60.384021378847336,0.0,2.2432,25.001915824250542,0.001915824250541931,thermal_die6,0.046368106013508575,0.9974447589588518,91,0.0034836399999999992,0.00016194359375000002,0.00343022359375,F:20;I:7;S:1,0,20,0,1,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,168,108,20,pure_serial,baseline,ok,,425.6932072800001,1.0,1.0,-2345058.7003085064,2.48,47.53455399660647,22.53455399660647,thermal_die7,0.0,0.999999936574041,111,425.69318028000015,0,425.69299051999997,I:7;S:21,0,0,0,21,greedy
bist_private_control,Pressure workload with private BIST engines,m22_bist_private_control_large_p34392_3d_stack,m10_large_p34392_3d_stack,p34392,large,3d_stack,8,1,28,168,108,20,fixed_fastest,fixed_path,ok,,0.018152,4.264103746447734e-05,23451.58700308506,0.0,32.8,72.71497044595583,47.71497044595583,thermal_die2,0.0,0.19723005729396204,71,0.003580119999999999,0,0.12324828000000004,B:20;I:7;S:1,20,0,0,1,greedy
