case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_small_3d_stack,core2_die2,core,die2,S_core2_die2_serial,S,3,CAPTURE,0.11401356,0.11401456,1e-06,False,0,,dwr_die2,,test_session_die2,1.57,thermal_die2,
v4_small_3d_stack,core0_die0,core,die0,S_core0_die0_serial,S,4,SERIAL_SHIFT_OUT,0.11401356,0.16401756,0.050004,True,0,,dwr_die0,,test_session_die0,1.08,thermal_die0,
v4_small_3d_stack,core1_die1,core,die1,S_core1_die1_serial,S,4,SERIAL_SHIFT_OUT,0.16401756,0.20002196,0.0360044,True,0,,dwr_die1,,test_session_die1,0.97,thermal_die1,
v4_small_3d_stack,core2_die2,core,die2,S_core2_die2_serial,S,4,SERIAL_SHIFT_OUT,0.20002196,0.22802676,0.0280048,True,0,,dwr_die2,,test_session_die2,0.9199999999999999,thermal_die2,
v4_small_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,0,CONFIG_ACCESS_PATH,0.22802676,0.22803124,4.48e-06,True,0,,dwr_die1;dwr_die2,,,0.0,thermal_die2,
v4_small_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,1,CONFIG_DWR_MODE,0.22803124,0.22803288,1.64e-06,True,0,,dwr_die1;dwr_die2,,,0.0,thermal_die2,
v4_small_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,2,DWR_SHIFT_IN,0.22803288,0.22813528,0.0001024,True,0,,dwr_die1;dwr_die2,hbt_die1_die2,interconnect_session_hbt_die1_die2,0.24,thermal_die2,
v4_small_3d_stack,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,0,CONFIG_ACCESS_PATH,0.22813528,0.22813848,3.2e-06,True,0,,dwr_die0;dwr_die1,,,0.0,thermal_die1,
v4_small_3d_stack,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,1,CONFIG_DWR_MODE,0.22813848,0.22814012,1.64e-06,True,0,,dwr_die0;dwr_die1,,,0.0,thermal_die1,
v4_small_3d_stack,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,2,DWR_SHIFT_IN,0.22814012,0.22822204,8.192e-05,True,0,,dwr_die0;dwr_die1,hbt_die0_die1,interconnect_session_hbt_die0_die1,0.2,thermal_die1,
v4_small_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,3,DWR_CAPTURE,0.22822204,0.22822304,1e-06,False,0,,dwr_die1;dwr_die2,hbt_die1_die2,interconnect_session_hbt_die1_die2,0.24,thermal_die2,
v4_small_3d_stack,instr0_die2,instrument,die2,IJTAG_instr0_die2_serial,IJTAG,0,CONFIG_ACCESS_PATH,0.22822204,0.22822652,4.48e-06,True,0,,,,,0.03,thermal_die2,
v4_small_3d_stack,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,3,DWR_CAPTURE,0.22822304,0.22822404,1e-06,False,0,,dwr_die0;dwr_die1,hbt_die0_die1,interconnect_session_hbt_die0_die1,0.2,thermal_die1,
v4_small_3d_stack,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,4,DWR_SHIFT_OUT,0.22822652,0.22833812,0.0001116,True,0,,dwr_die1;dwr_die2,hbt_die1_die2,interconnect_session_hbt_die1_die2,0.24,thermal_die2,
v4_small_3d_stack,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,4,DWR_SHIFT_OUT,0.22833812,0.22842844,9.032e-05,True,0,,dwr_die0;dwr_die1,hbt_die0_die1,interconnect_session_hbt_die0_die1,0.2,thermal_die1,
v4_small_3d_stack,instr0_die2,instrument,die2,IJTAG_instr0_die2_serial,IJTAG,1,ACCESS_INSTRUMENT,0.22842844,0.2284286,1.6e-07,True,0,,,,,0.03,thermal_die2,
v4_small_3d_stack,instr0_die2,instrument,die2,IJTAG_instr0_die2_serial,IJTAG,2,READ_INSTRUMENT,0.2284286,0.22842892,3.2e-07,True,0,,,,,0.03,thermal_die2,
