case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,exclusive_resource,power_w,thermal_region,resource_notes
v4_4die_3d_stack,core0_die0,core,die0,S_core0_die0_serial,S,0,CONFIG_ACCESS_PATH,0.0,1.92e-06,1.92e-06,True,0,,dwr_die0,,,0.12,thermal_die0,
v4_4die_3d_stack,core0_die0,core,die0,S_core0_die0_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,1.92e-06,3.24e-06,1.32e-06,True,0,,dwr_die0,,,0.12,thermal_die0,
v4_4die_3d_stack,core0_die0,core,die0,S_core0_die0_serial,S,2,SERIAL_SHIFT_IN,3.24e-06,0.40000324,0.4,True,0,,dwr_die0,,test_session_die0,1.62,thermal_die0,
v4_4die_3d_stack,core0_die0,core,die0,S_core0_die0_serial,S,3,CAPTURE,0.40000324,0.40000424,1e-06,False,0,,dwr_die0,,test_session_die0,2.62,thermal_die0,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,0,CONFIG_ACCESS_PATH,0.40000324,0.40000644,3.2e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.40000644,0.40000776,1.32e-06,True,0,,dwr_die1,,,0.11,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,2,SERIAL_SHIFT_IN,0.40000776,0.78400776,0.384,True,0,,dwr_die1,,test_session_die1,1.51,thermal_die1,
v4_4die_3d_stack,core2_die1,core,die1,S_core2_die1_serial,S,3,CAPTURE,0.78400776,0.78400876,1e-06,False,0,,dwr_die1,,test_session_die1,2.4099999999999997,thermal_die1,
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial,S,0,CONFIG_ACCESS_PATH,0.78400776,0.78401096,3.2e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial,S,1,CONFIG_SCAN_OR_DWR_MODE,0.78401096,0.78401228,1.32e-06,True,0,,dwr_die2,,,0.11,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial,S,2,SERIAL_SHIFT_IN,0.78401228,1.12601228,0.342,True,0,,dwr_die2,,test_session_die2,1.56,thermal_die2,
v4_4die_3d_stack,core3a_die2,core,die2,S_core3a_die2_serial,S,3,CAPTURE,1.12601228,1.12601328,1e-06,False,0,,dwr_die2,,test_session_die2,2.51,thermal_die2,
