case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,power_w,thermal_region,resource_notes
3d_stack_m1_example,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,3,DWR_CAPTURE,0.06356107999999999,0.06356207999999999,1e-06,False,0,,dwr_die0_upper;dwr_die1_lower,mbump_die0_die1,0.45,thermal_die1,
3d_stack_m1_example,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,4,DWR_SHIFT_OUT,0.06356207999999999,0.06365423999999999,9.216e-05,True,0,,dwr_die0_upper;dwr_die1_lower,mbump_die0_die1,0.45,thermal_die1,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,0,CONFIG_ACCESS_PATH,0.06365423999999999,0.06365999999999998,5.76e-06,True,0,,,,0.0,thermal_die3,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,1,CONFIG_DWR_MODE,0.06365999999999998,0.06366163999999998,1.64e-06,True,0,,dwr_die2_upper;dwr_die3_lower,,0.0,thermal_die3,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,2,DWR_SHIFT_IN,0.06366163999999998,0.06374355999999998,8.192e-05,True,0,,dwr_die2_upper;dwr_die3_lower,tsv_die2_die3,0.55,thermal_die3,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,3,DWR_CAPTURE,0.06374355999999998,0.06374455999999998,1e-06,False,0,,dwr_die2_upper;dwr_die3_lower,tsv_die2_die3,0.55,thermal_die3,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,4,DWR_SHIFT_OUT,0.06374455999999998,0.06383927999999998,9.472e-05,True,0,,dwr_die2_upper;dwr_die3_lower,tsv_die2_die3,0.55,thermal_die3,
3d_stack_m1_example,sensor_die1_temp,instrument,die1,S_sensor_die1_temp_serial,S,0,CONFIG_ACCESS_PATH,0.06383927999999998,0.06384247999999998,3.2e-06,True,0,,,,0.05,thermal_die1,
3d_stack_m1_example,sensor_die1_temp,instrument,die1,S_sensor_die1_temp_serial,S,1,ACCESS_INSTRUMENT,0.06384247999999998,0.06384279999999998,3.2e-07,True,0,,,,0.05,thermal_die1,
3d_stack_m1_example,sensor_die1_temp,instrument,die1,S_sensor_die1_temp_serial,S,2,READ_INSTRUMENT,0.06384279999999998,0.06384343999999997,6.4e-07,True,0,,,,0.05,thermal_die1,
