case_id,target_id,target_kind,die_id,recipe_id,recipe_type,phase_index,phase_name,start_s,end_s,duration_s,serial_required,fpp_lanes_required,fpp_channel,dwr_segments,route_resource,power_w,thermal_region,resource_notes
3d_stack_m1_example,core_die1_cpu,core,die1,F_core_die1_cpu_lane2,F,0,CONFIG_ACCESS_PATH,0.0,3.2e-06,3.2e-06,True,0,,,,0.14,thermal_die1,
3d_stack_m1_example,core_die1_cpu,core,die1,F_core_die1_cpu_lane2,F,1,CONFIG_FPP,3.2e-06,4.4799999999999995e-06,1.28e-06,True,0,fpp_ch0,,,0.14,thermal_die1,
3d_stack_m1_example,core_die1_cpu,core,die1,F_core_die1_cpu_lane2,F,2,CONFIG_SCAN_OR_DWR_MODE,4.4799999999999995e-06,6.119999999999999e-06,1.64e-06,True,0,,dwr_die1_lower;dwr_die1_upper,,0.14,thermal_die1,
3d_stack_m1_example,core_die0_logic,core,die0,F_core_die0_logic_lane2,F,0,CONFIG_ACCESS_PATH,6.119999999999999e-06,8.04e-06,1.92e-06,True,0,,,,0.12,thermal_die0,
3d_stack_m1_example,core_die1_cpu,core,die1,F_core_die1_cpu_lane2,F,3,FPP_SHIFT_IN,6.119999999999999e-06,0.00120612,0.0012,False,2,fpp_ch0,dwr_die1_lower;dwr_die1_upper,,1.25,thermal_die1,
3d_stack_m1_example,core_die0_logic,core,die0,F_core_die0_logic_lane2,F,1,CONFIG_FPP,8.04e-06,9.319999999999999e-06,1.28e-06,True,0,fpp_ch0,,,0.12,thermal_die0,
3d_stack_m1_example,core_die0_logic,core,die0,F_core_die0_logic_lane2,F,2,CONFIG_SCAN_OR_DWR_MODE,9.319999999999999e-06,1.064e-05,1.32e-06,True,0,,dwr_die0_upper,,0.12,thermal_die0,
3d_stack_m1_example,core_die3_accel,core,die3,B_core_die3_accel_local_bist,B,0,CONFIG_BIST,1.064e-05,1.9600000000000002e-05,8.96e-06,True,0,,,,0.16,thermal_die3,
3d_stack_m1_example,core_die0_logic,core,die0,F_core_die0_logic_lane2,F,3,FPP_SHIFT_IN,1.064e-05,0.00077864,0.000768,False,2,fpp_ch0,dwr_die0_upper,,1.0299999999999998,thermal_die0,
3d_stack_m1_example,mem_die2_sram,memory,die2,B_mem_die2_sram_local_bist,B,0,CONFIG_BIST,1.9600000000000002e-05,2.6640000000000002e-05,7.04e-06,True,0,,,,0.1,thermal_die2,
3d_stack_m1_example,core_die3_accel,core,die3,B_core_die3_accel_local_bist,B,1,LOCAL_BIST_RUN,1.9600000000000002e-05,0.0075195999999999995,0.0075,False,0,,,,1.96,thermal_die3,external access resources released
3d_stack_m1_example,link_die1_die2,interconnect,die2,I_link_die1_die2_serial_extest,I,0,CONFIG_ACCESS_PATH,2.6640000000000002e-05,3.112e-05,4.48e-06,True,0,,,,0.0,thermal_die2,
3d_stack_m1_example,link_die0_die1,interconnect,die1,I_link_die0_die1_serial_extest,I,0,CONFIG_ACCESS_PATH,3.112e-05,3.432e-05,3.2e-06,True,0,,,,0.0,thermal_die1,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,0,CONFIG_ACCESS_PATH,3.432e-05,4.0079999999999996e-05,5.76e-06,True,0,,,,0.0,thermal_die3,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,1,CONFIG_DWR_MODE,4.0079999999999996e-05,4.1719999999999994e-05,1.64e-06,True,0,,dwr_die2_upper;dwr_die3_lower,,0.0,thermal_die3,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,2,DWR_SHIFT_IN,4.1719999999999994e-05,0.00012364,8.192e-05,True,0,,dwr_die2_upper;dwr_die3_lower,tsv_die2_die3,0.55,thermal_die3,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,3,DWR_CAPTURE,0.00012364,0.00012464,1e-06,False,0,,dwr_die2_upper;dwr_die3_lower,tsv_die2_die3,0.55,thermal_die3,
3d_stack_m1_example,link_die2_die3,interconnect,die3,I_link_die2_die3_serial_extest,I,4,DWR_SHIFT_OUT,0.00012464,0.00021936,9.472e-05,True,0,,dwr_die2_upper;dwr_die3_lower,tsv_die2_die3,0.55,thermal_die3,
